Ingredient,Category,Purchase Size,Purchase Unit,Purchase Cost,Cost Per Recipe Unit,Recipe Unit,Supplier,Last Updated,Notes
32oz Lid,Packaging,500,each,$27.97,$0.0559,each,Your Brand Cafe,,Energy
Buoy Boxes,Packaging,,,,,,,,
Toast Containers,Packaging,,,,,,,,
Round Bagel Plates,Packaging,,,,,,,,
Pastry Bags,Packaging,,,,,,,,
Smoothie Straw,Packaging,2000,each,$44.30,$0.0222,each,Amazon,07-12-2026,
Power Tea Straw,Packaging,1600,each,$38.96,$0.0244,each,Amazon,07-12-2026,
Coffee Straw,Packaging,,,,,,,,
Round Stickers,Packaging,,,,,,,,
Rectangle Stickers,Packaging,,,,,,,,
White Bags,Packaging,,,,,,,,
Brown Bags,Packaging,,,,,,,,
Boathouse Blue Stamp,Packaging,,,,,,,,
Tamper Seals,Packaging,,,,,,,,
"2"" Round Buoy Parchment",Packaging,,,,,,,,
"6"" Toast Parchment",Packaging,,,,,,,,
4 Cup Holder,Packaging,,,,,,,,
Spoon,Packaging,1000,each,$22.32,$0.0223,each,Sysco,07-14-2026,
Fork,Packaging,,,,,,,,
Napkin,Packaging,,,,,,,,
Knives,Packaging,,,,,,,,
