Menu Item,Ingredient ID,Ingredient,Ingredient Category,Amount Used,Recipe Unit,Notes
Strawberry Banana,FRZ-STRAWBERRIES,Strawberries,Frozen Fruit,4.05,oz,1/2 beaker
Strawberry Banana,PKG-20OZ_BRANDED_CUP,20oz Branded Cup,Packaging,1.0,each,
Strawberry Banana,PKG-20OZ_LID,20oz Lid,Packaging,1.0,each,
Strawberry Banana,PKG-SMOOTHIE_STRAW,Smoothie Straw,Packaging,1.0,each,
Sweet Greens,MLK-ALMOND_MILK,Almond Milk,Milk,10.0,fl oz,
Sweet Greens,PWD-VANILLA_PROTEIN,Vanilla Protein,Powder,0.8,oz,1 scoop
Sweet Greens,NUT-CHIA_SEEDS,Chia Seeds,Nuts and Seeds,0.27,oz,3 scoops @ 1/4 tbsp
Sweet Greens,EXT-VANILLA_EXTRACT,Vanilla Extract,Extract,1.0,ml,2 full droppers
Sweet Greens,SWT-HONEY,Honey,Sweetener,0.5,oz,2 circles
Sweet Greens,VEG-SPINACH,Spinach,Vegetable,0.18,oz,EST - 5 leaves
Sweet Greens,VEG-AVOCADO,Avocado,Vegetable,0.33,each,one third
Sweet Greens,FRZ-GRAPES,Grapes,Frozen Fruit,8.1,oz,1 full beaker
Sweet Greens,PKG-20OZ_BRANDED_CUP,20oz Branded Cup,Packaging,1.0,each,
Sweet Greens,PKG-20OZ_LID,20oz Lid,Packaging,1.0,each,
Sweet Greens,PKG-SMOOTHIE_STRAW,Smoothie Straw,Packaging,1.0,each,
Tropical Paradise,MLK-ALMOND_MILK,Almond Milk,Milk,10.0,fl oz,
Tropical Paradise,PWD-VANILLA_PROTEIN,Vanilla Protein,Powder,0.8,oz,1 scoop
Tropical Paradise,FRZ-MANGOES,Mangoes,Frozen Fruit,4.0,oz,1/2 beaker
Tropical Paradise,FRZ-PINEAPPLE,Pineapple,Frozen Fruit,4.75,oz,1/2 beaker
Tropical Paradise,PKG-20OZ_BRANDED_CUP,20oz Branded Cup,Packaging,1.0,each,
Tropical Paradise,PKG-20OZ_LID,20oz Lid,Packaging,1.0,each,
Tropical Paradise,PKG-SMOOTHIE_STRAW,Smoothie Straw,Packaging,1.0,each,
Banana Bowl,MLK-OAT_MILK,Oat Milk,Milk,4.0,fl oz,
Banana Bowl,FRZ-BANANAS,Bananas,Frozen Fruit,5.4,oz,3/4 20oz cup
Banana Bowl,PWD-VANILLA_PROTEIN,Vanilla Protein,Powder,0.8,oz,1 scoop
Banana Bowl,EXT-VANILLA_EXTRACT,Vanilla Extract,Extract,1.0,ml,2 droppers
Banana Bowl,SWT-AGAVE,Agave,Sweetener,0.5,oz,2 circles
Banana Bowl,TOP-GRANOLA,Granola,Topping,2.2,oz,"4 scoops - 2 in base, 2 layered"
Banana Bowl,PKG-16OZ_ACAI_BOWL,16oz Acai Bowl,Packaging,1.0,each,
Banana Bowl,PKG-16OZ_ACAI_BOWL_LID,16oz Acai Bowl Lid,Packaging,1.0,each,
Banana Bowl,PKG-SPOON,Spoon,Packaging,1.0,each,
Coconut Bowl,MLK-COCONUT_MILK,Coconut Milk,Milk,4.0,fl oz,
Coconut Bowl,PRP-COCONUT_CUBES,Coconut Cubes,Prepared Ingredient,6.0,cubes,
Coconut Bowl,FRZ-PINEAPPLE,Pineapple,Frozen Fruit,7.12,oz,3/4 20oz cup
Coconut Bowl,PWD-VANILLA_PROTEIN,Vanilla Protein,Powder,0.8,oz,1 scoop
Coconut Bowl,TOP-COCONUT_SHREDS,Coconut Shreds,Topping,0.7,oz,2 scoops shredded coconut
Coconut Bowl,EXT-COCONUT_EXTRACT,Coconut Extract,Extract,1.5,ml,3 droppers
Coconut Bowl,SWT-AGAVE,Agave,Sweetener,0.5,oz,2 circles
Coconut Bowl,TOP-GRANOLA,Granola,Topping,2.2,oz,"4 scoops - 2 in base, 2 layered"
Coconut Bowl,PKG-16OZ_ACAI_BOWL,16oz Acai Bowl,Packaging,1.0,each,
Coconut Bowl,PKG-16OZ_ACAI_BOWL_LID,16oz Acai Bowl Lid,Packaging,1.0,each,
Coconut Bowl,PKG-SPOON,Spoon,Packaging,1.0,each,
Strawberry Bowl,MLK-OAT_MILK,Oat Milk,Milk,4.0,fl oz,
Strawberry Bowl,FRZ-STRAWBERRIES,Strawberries,Frozen Fruit,6.07,oz,3/4 20oz cup
Strawberry Bowl,PWD-VANILLA_PROTEIN,Vanilla Protein,Powder,0.8,oz,1 scoop
Strawberry Bowl,SWT-AGAVE,Agave,Sweetener,0.5,oz,2 circles
Strawberry Bowl,TOP-GRANOLA,Granola,Topping,2.2,oz,"4 scoops - 2 in base, 2 layered"
Strawberry Bowl,PKG-16OZ_ACAI_BOWL,16oz Acai Bowl,Packaging,1.0,each,
Strawberry Bowl,PKG-16OZ_ACAI_BOWL_LID,16oz Acai Bowl Lid,Packaging,1.0,each,
Strawberry Bowl,PKG-SPOON,Spoon,Packaging,1.0,each,
Pineapple Mango Bowl,MLK-OAT_MILK,Oat Milk,Milk,4.0,fl oz,
Pineapple Mango Bowl,FRZ-PINEAPPLE,Pineapple,Frozen Fruit,3.17,oz,1/3 20oz cup
Pineapple Mango Bowl,FRZ-MANGOES,Mangoes,Frozen Fruit,2.67,oz,1/3 20oz cup
Pineapple Mango Bowl,PWD-VANILLA_PROTEIN,Vanilla Protein,Powder,0.8,oz,1 scoop
Pineapple Mango Bowl,SWT-AGAVE,Agave,Sweetener,0.5,oz,2 circles
Pineapple Mango Bowl,TOP-GRANOLA,Granola,Topping,2.2,oz,"4 scoops - 2 in base, 2 layered"
Pineapple Mango Bowl,PKG-16OZ_ACAI_BOWL,16oz Acai Bowl,Packaging,1.0,each,
Pineapple Mango Bowl,PKG-16OZ_ACAI_BOWL_LID,16oz Acai Bowl Lid,Packaging,1.0,each,
Pineapple Mango Bowl,PKG-SPOON,Spoon,Packaging,1.0,each,
Oatmeal Bowl,GRN-OATS,Oats,Grain,1.52,oz,2 scoops = 0.5 cup dry (43 g) - confirmed
Oatmeal Bowl,SEA-CINNAMON,Cinnamon,Seasoning,0.3,oz,3 silver scoops
Oatmeal Bowl,SWT-HONEY,Honey,Sweetener,0.25,oz,1 circle
Oatmeal Bowl,EXT-VANILLA_EXTRACT,Vanilla Extract,Extract,0.5,ml,1 dropper
Oatmeal Bowl,PWD-VANILLA_PROTEIN,Vanilla Protein,Powder,0.4,oz,1/2 scoop
Oatmeal Bowl,MLK-OAT_MILK,Oat Milk,Milk,1.0,fl oz,EST - splash
Oatmeal Bowl,TOP-GRANOLA,Granola,Topping,0.55,oz,1 scoop
Oatmeal Bowl,PKG-16OZ_ACAI_BOWL,16oz Acai Bowl,Packaging,1.0,each,
Oatmeal Bowl,PKG-16OZ_ACAI_BOWL_LID,16oz Acai Bowl Lid,Packaging,1.0,each,
Oatmeal Bowl,PKG-SPOON,Spoon,Packaging,1.0,each,
Yogurt Bowl,YOG-COCONUT_YOGURT,Coconut Yogurt,Yogurt,8.36,oz,4 scoops @ 2 fl oz
Yogurt Bowl,PWD-VANILLA_PROTEIN,Vanilla Protein,Powder,0.4,oz,1/2 scoop
Yogurt Bowl,TOP-GRANOLA,Granola,Topping,2.2,oz,"4 scoops - 2 in base, 2 layered"
Yogurt Bowl,DRZ-RASPBERRY_DRIZZLE,Raspberry Drizzle,Drizzle,0.25,fl oz,EST - drizzle
Yogurt Bowl,PKG-16OZ_ACAI_BOWL,16oz Acai Bowl,Packaging,1.0,each,
Yogurt Bowl,PKG-16OZ_ACAI_BOWL_LID,16oz Acai Bowl Lid,Packaging,1.0,each,
Yogurt Bowl,PKG-SPOON,Spoon,Packaging,1.0,each,
Mermaid,PWD-ZIPFIZZ,Zipfizz,Powder,1.0,each,1 zipfizz
Mermaid,PRP-BREWED_TEA,Brewed Tea,Prepared Ingredient,3.0,fl oz,3 oz tea
Mermaid,PWD-POWER_TEA_FLAVORS,Power Tea Flavors,Powder,0.3,oz,2 bev-mix scoop(s) @ 0.15 oz
Mermaid,PKG-32OZ_BRANDED_CUP,32oz Branded Cup,Packaging,1.0,each,
Mermaid,PKG-32OZ_LID,32oz Lid,Packaging,1.0,each,
Mermaid,PKG-POWER_TEA_STRAW,Power Tea Straw,Packaging,1.0,each,
Cherry Beach Pop,PWD-ZIPFIZZ,Zipfizz,Powder,1.0,each,1 zipfizz
Cherry Beach Pop,PRP-BREWED_TEA,Brewed Tea,Prepared Ingredient,3.0,fl oz,3 oz tea
Cherry Beach Pop,PWD-POWER_TEA_FLAVORS,Power Tea Flavors,Powder,0.3,oz,2 bev-mix scoop(s) @ 0.15 oz
Cherry Beach Pop,PKG-32OZ_BRANDED_CUP,32oz Branded Cup,Packaging,1.0,each,
Cherry Beach Pop,PKG-32OZ_LID,32oz Lid,Packaging,1.0,each,
Cherry Beach Pop,PKG-POWER_TEA_STRAW,Power Tea Straw,Packaging,1.0,each,
